task,similar_1,similar_2,similar_3,similar_4,similar_5
task269,task289,task223,task108,task107,task221
task270,task250,task340,task034,task126,task078
task271,task149,task216,task365,task300,task263
task272,task147,task389,task299,task320,task261
task273,task042,task027,task081,task338,task283
task274,task186,task167,task399,task334,task038
task275,task108,task221,task201,task033,task344
task276,task309,task016,task337,task389,task116
task277,task330,task374,task169,task279,task219
task278,task097,task105,task068,task265,task208
task279,task196,task077,task198,task192,task277
task280,task370,task013,task382,task234,task122
task281,task387,task245,task379,task370,task013
task282,task317,task344,task160,task283,task338
task283,task160,task336,task282,task265,task317
task284,task387,task013,task370,task041,task028
task285,task018,task076,task089,task054,task191
task286,task358,task173,task066,task284,task013
task287,task240,task306,task110,task071,task074
task288,task378,task268,task328,task141,task323
task289,task269,task223,task384,task108,task329
task290,task088,task086,task111,task031,task049
task291,task346,task377,task115,task355,task065
task292,task252,task293,task176,task375,task329
task293,task252,task292,task298,task063,task215
task294,task098,task258,task026,task331,task386
task295,task124,task114,task123,task231,task099
task296,task135,task261,task366,task120,task314
task297,task354,task126,task387,task178,task143
task298,task252,task373,task389,task292,task293
task299,task047,task024,task043,task298,task373
task300,task036,task174,task355,task396,task384
task301,task239,task253,task237,task300,task234
task302,task204,task369,task102,task156,task330
task303,task329,task063,task215,task292,task074
task304,task315,task106,task123,task229,task327
task305,task017,task313,task007,task074,task041
task306,task287,task033,task127,task257,task146
task307,task223,task108,task107,task269,task194
task308,task264,task153,task253,task238,task159
task309,task276,task337,task016,task164,task389
task310,task091,task036,task111,task088,task014
task311,task210,task164,task116,task172,task113
task312,task197,task040,task084,task354,task267
task313,task305,task007,task017,task232,task074
task314,task082,task257,task258,task306,task352
task315,task001,task261,task083,task104,task194
task316,task115,task377,task253,task342,task244
task317,task344,task282,task171,task160,task095
task318,task144,task386,task227,task236,task026
task319,task209,task233,task366,task014,task138
task320,task272,task070,task256,task147,task371
task321,task257,task180,task372,task360,task127
task322,task237,task232,task028,task327,task388
task323,task328,task387,task176,task199,task126
task324,task141,task051,task037,task192,task378
task325,task399,task300,task038,task167,task274
task326,task067,task135,task329,task373,task177
task327,task398,task322,task123,task114,task141
task328,task237,task323,task284,task268,task099
task329,task303,task326,task315,task292,task362
task330,task169,task277,task369,task374,task302
task331,task020,task028,task041,task387,task230
task332,task261,task292,task147,task095,task315
task333,task168,task064,task190,task035,task200
task334,task167,task339,task186,task399,task129
task335,task246,task050,task181,task353,task122
task336,task265,task283,task162,task077,task345
task337,task016,task309,task276,task172,task113
task338,task251,task282,task317,task283,task160
task339,task129,task186,task391,task334,task393
task340,task270,task025,task250,task382,task093
task341,task381,task329,task047,task060,task362
task342,task368,task316,task228,task190,task075
task343,task400,task394,task215,task231,task099
task344,task317,task282,task171,task041,task127
task345,task382,task126,task336,task078,task094
task346,task291,task355,task391,task115,task121
task347,task395,task006,task227,task386,task026
task348,task225,task323,task331,task352,task020
task349,task338,task196,task379,task156,task204
task350,task050,task356,task092,task258,task045
task351,task400,task242,task394,task036,task033
task352,task082,task095,task220,task097,task230
task353,task122,task181,task245,task126,task136
task354,task312,task297,task169,task143,task099
task355,task300,task239,task396,task065,task216
task356,task350,task050,task092,task045,task258
task357,task028,task248,task348,task295,task394
task358,task013,task383,task378,task051,task237
task359,task097,task161,task188,task192,task068
task360,task372,task180,task177,task321,task083
task361,task117,task112,task240,task099,task237
task362,task329,task303,task060,task065,task341
task363,task368,task206,task069,task173,task089
task364,task157,task077,task076,task161,task354
task365,task396,task216,task328,task300,task271
task366,task233,task209,task096,task018,task157
task367,task102,task251,task105,task187,task002
task368,task069,task206,task363,task075,task099
task369,task330,task169,task302,task102,task266
task370,task005,task013,task387,task131,task280
task371,task137,task256,task370,task320,task122
task372,task360,task180,task321,task177,task315
task373,task298,task252,task326,task375,task329
task374,task254,task330,task169,task277,task256
task375,task292,task141,task028,task043,task084
task376,task211,task106,task249,task116,task172
task377,task115,task291,task316,task218,task244
task378,task268,task284,task037,task013,task141
task379,task383,task165,task281,task251,task234
task380,task194,task142,task140,task087,task152
task381,task341,task043,task240,task094,task078
task382,task345,task131,task370,task051,task379
task383,task379,task358,task004,task375,task281
task384,task300,task036,task065,task091,task195
task385,task113,task053,task116,task172,task164
task386,task144,task026,task227,task395,task236
task387,task041,task284,task020,task028,task126
task388,task237,task019,task232,task295,task322
task389,task298,task147,task267,task272,task329
task390,task154,task086,task112,task117,task245
task391,task393,task339,task346,task239,task244
task392,task062,task034,task137,task387,task284
task393,task391,task247,task300,task339,task239
task394,task400,task351,task259,task065,task121
task395,task227,task144,task386,task347,task006
task396,task216,task300,task365,task355,task014
task397,task387,task228,task030,task126,task037
task398,task327,task295,task378,task268,task124
task399,task186,task325,task167,task334,task274
task400,task351,task394,task242,task033,task036
